"","timestamp","ETH_Close","BTC_Close","breakeven_inflation","BTC_Energy","ETH_Energy"
"167",2020-11-23,608.58,18368,1.62,77.78218074,12.51384129
"168",2020-11-20,510.12,18655.67,1.61,77.78218074,12.33304062
"169",2020-11-19,471.25,17802.82,1.62,77.78218074,12.28769064
"170",2020-11-18,478.41,17776.12,1.63,77.78218074,12.24530704
"171",2020-11-17,482.15,17659.38,1.63,77.78218074,12.19857742
"172",2020-11-16,460.55,16713.57,1.64,77.78218074,12.15610374
"173",2020-11-13,476.43,16320.7,1.64,77.78218074,12.05889203
"174",2020-11-12,462.39,16291.86,1.63,77.78218074,12.00317301
"175",2020-11-11,463.09,15684.24,1.69,77.78218074,11.96626948
"176",2020-11-10,450.34,15297.21,1.69,77.78218074,11.92936917
"177",2020-11-09,444.32,15328.41,1.63,77.78218074,11.8927819
"178",2020-11-06,455.91,15579.92,1.54,77.78218074,11.78674099
"179",2020-11-05,416.69,15590.02,1.55,77.78218074,11.74640483
"180",2020-11-04,402.49,14144.01,1.56,77.56043856,11.71425621
"181",2020-11-03,387.88,14023.53,1.62,77.3284532,11.68717748
"182",2020-11-02,383.02,13549.37,1.6,77.09716171,11.63809044
"183",2020-10-30,382.49,13560.1,1.59,76.40742978,11.54931754
"184",2020-10-29,387.13,13455.7,1.61,76.1788931,11.51590241
"185",2020-10-28,388.23,13266.4,1.61,75.95103998,11.48083142
"186",2020-10-27,403.45,13636.17,1.64,75.72386838,11.4479826
"187",2020-10-26,392.52,13052.19,1.63,75.49737625,11.41626056
"188",2020-10-23,409.11,12923.07,1.66,74.82195643,11.29851059
"189",2020-10-22,413.98,12968.52,1.68,74.59816194,11.26369066
"190",2020-10-21,390.38,12780.96,1.56,74.37503683,11.22522235
"191",2020-10-20,368.52,11909.99,1.53,74.1525791,11.19002686
"192",2020-10-19,379.3,11751.47,1.53,73.93078673,11.15898589
"193",2020-10-16,365.5,11319.32,1.53,73.26938204,11.07479908
"194",2020-10-15,377.64,11505.12,1.52,73.05023135,11.04200894
"195",2020-10-14,378.69,11417.89,1.52,72.83173614,10.98958569
"196",2020-10-13,381.04,11420.56,1.52,72.61389446,10.9557304
"197",2020-10-12,386.51,11528.25,1.55,72.39670435,10.9214833
"198",2020-10-09,365.02,11050.64,1.56,71.74902397,10.8171585
"199",2020-10-08,350.95,10925.57,1.56,71.53442071,10.77210198
"200",2020-10-07,341.58,10666.39,1.54,71.32045933,10.74454795
"201",2020-10-06,340.75,10599.66,1.51,71.10713792,10.69848582
"202",2020-10-05,353.62,10792.21,1.52,70.89445455,10.6672335
"203",2020-10-02,345.6,10570.4,1.48,70.26021371,10.56873137
"204",2020-10-01,352.85,10619.13,1.48,70.6572132,10.53838355
"205",2020-09-30,359.83,10776.59,1.5,70.47416702,10.48934137
"206",2020-09-29,359.79,10840.48,1.49,70.26337689,10.45154105
"207",2020-09-28,353.96,10696.12,1.48,70.05321724,10.4094133
"208",2020-09-25,351.92,10686.67,1.43,69.42650233,10.30698736
"209",2020-09-24,348.97,10736.32,1.45,69.21884579,10.27649838
"210",2020-09-23,320.72,10241.46,1.48,69.35493369,10.23709438
"211",2020-09-22,344.21,10529.61,1.5,69.99261542,10.20336295
"212",2020-09-21,340.36,10417.22,1.5,69.9650917,10.16412061
"213",2020-09-18,384.39,10933.39,1.58,69.57428718,10.01638487
"214",2020-09-17,389.36,10939.99,1.57,69.36618861,9.92107668
"215",2020-09-16,365.11,10954.01,1.57,69.15871248,9.809389467
"216",2020-09-15,364.06,10785.31,1.54,68.95185691,9.766316665
"217",2020-09-14,377.12,10671.77,1.54,68.74562005,9.708793741
"218",2020-09-11,373.63,10387.89,1.53,68.13060325,9.579338456
"219",2020-09-10,367.93,10336.87,1.54,67.92682278,9.535353086
"220",2020-09-09,350.85,10219.2,1.57,67.72365183,9.486656176
"221",2020-09-08,337.39,10126.65,1.55,67.54346767,9.456056052
"222",2020-09-07,353.59,10373.44,1.57,67.99255336,9.420856625
"223",2020-09-04,385.26,10446.25,1.57,68.91556362,9.285361543
"224",2020-09-03,381.4,10140.85,1.53,68.82208371,9.20891521
"225",2020-09-02,439.5,11388.54,1.61,68.74990507,9.100331503
"226",2020-09-01,475.4,11921.97,1.65,68.54427226,8.952296984
"227",2020-08-31,433.79,11649.51,1.69,68.33925449,8.834624052
"228",2020-08-28,395.11,11526.91,1.68,67.86319358,8.675058073
"229",2020-08-27,383.27,11330.38,1.65,67.66021294,8.64300654
"230",2020-08-26,385.81,11461.43,1.63,67.45783942,8.610544674
"231",2020-08-25,382.93,11318.42,1.6,67.25607121,8.578162772
"232",2020-08-24,407.68,11748.2,1.57,67.05490649,8.541059888
"233",2020-08-21,387.97,11531.34,1.52,66.45501527,8.434856275
"234",2020-08-20,415.94,11853.55,1.48,66.25624653,8.388575803
"235",2020-08-18,421.95,11945.01,1.55,65.86049084,8.34559943
"236",2020-08-17,430.89,12281.13,1.54,65.66350034,8.299534505
"237",2020-08-14,438.11,11760.54,1.53,65.07605702,8.1619861
"238",2020-08-13,424.54,11780,1.56,64.88141278,8.093221288
"239",2020-08-12,387.18,11564.33,1.56,64.68735073,8.033413839
"240",2020-08-11,379,11392.08,1.5,64.49386912,8.006749779
"241",2020-08-10,395.44,11892.92,1.49,64.30096622,7.935332452
"242",2020-08-07,379.34,11594.23,1.5,63.7257125,7.872728546
"243",2020-08-06,394.77,11762.46,1.53,63.53510717,7.848357327
"244",2020-08-05,400.72,11744.91,1.52,63.34507196,7.822304198
"245",2020-08-04,389.61,11191.97,1.45,63.15560514,7.793942982
"246",2020-08-03,385.94,11219.81,1.46,62.96670503,7.766395848
"247",2020-07-31,346.33,11335.46,1.4,62.40338796,7.691212958
"248",2020-07-30,334.87,11099.61,1.37,62.21673775,7.668936209
"249",2020-07-29,317.71,11100.53,1.38,62.03064581,7.649468074
"250",2020-07-28,316.77,10906.27,1.36,61.84511048,7.63121869
"251",2020-07-27,321.93,11029.96,1.38,61.66013009,7.610950154
"252",2020-07-24,279.15,9537.8,1.35,61.10850199,7.564226116
"253",2020-07-23,275.3,9603.27,1.37,60.92572482,7.553688382
"254",2020-07-22,263.74,9518.16,1.4,60.74349433,7.544774373
"255",2020-07-21,245.59,9390,1.4,60.56180891,7.537295812
"256",2020-07-20,236.01,9160.78,1.37,60.41054346,7.533116
"257",2020-07-17,232.67,9154.32,1.35,60.538856,7.51678789
"258",2020-07-16,233.57,9133.72,1.3,60.48691202,7.51384906
"259",2020-07-15,238.61,9197.6,1.28,61.13490431,7.514297886
"260",2020-07-14,240.44,9255.85,1.27,61.89814344,7.51364049
"261",2020-07-14,240.44,9255.85,1.27,61.89814344,7.51364049
"262",2020-07-13,239.5,9242.62,1.27,61.79875026,7.511497515
"263",2020-07-10,241.26,9288.34,1.25,61.25577931,7.515759609
"264",2020-07-09,241.98,9232.43,1.22,61.07256162,7.51664302
"265",2020-07-08,246.95,9436.06,1.25,60.88989195,7.513276517
"266",2020-07-07,239.39,9257.39,1.26,60.70776864,7.512029308
"267",2020-07-06,241.6,9344.2,1.28,60.52619007,7.511457542
"268",2020-07-03,224.87,9058.26,1.2,60.03551138,7.51367068
"269",2020-07-02,226.46,9086.54,1.21,59.85594355,7.513383467
"270",2020-07-01,230.99,9232,1.17,59.67691281,7.517341071
"271",2020-06-30,225.6,9138.55,1.16,59.49841756,7.518792988
"272",2020-06-29,227.93,9192.56,1.14,59.32045619,7.517257321
"273",2020-06-26,229.64,9162.21,1.11,59.36979813,7.544425439
"274",2020-06-25,232.5,9249.49,1.11,59.73101043,7.566143411
"275",2020-06-24,234.58,9296.49,1.1,60.06425021,7.587269813
"276",2020-06-23,243.14,9624.89,1.14,60.2366493,7.593221002
"277",2020-06-22,243.13,9685.69,1.11,60.05647986,7.610374768
"278",2020-06-19,229,9310.23,1.06,59.78051612,7.656415216
"279",2020-06-18,231.27,9386.32,1.12,59.77984763,7.664848126
"280",2020-06-17,233.82,9465.14,1.01,59.6125403,7.689624758
"281",2020-06-16,235.3,9525.59,1.02,59.43423759,7.711818917
"282",2020-06-15,230.86,9426.02,0.98,59.25646818,7.720382881
"283",2020-06-12,237.55,9465.13,0.95,59.48832569,7.765770618
"284",2020-06-11,230.51,9280.4,0.95,59.31039451,7.769705191
"285",2020-06-10,247.78,9885,1,59.13299552,7.78004674
"286",2020-06-09,243.8,9772.43,0.98,58.95612714,7.788238063
"287",2020-06-08,246.4,9782.01,0.98,58.77978777,7.788288415
"288",2020-06-05,240.03,9621.16,0.95,58.25392799,7.799866249
"289",2020-06-04,243.21,9789.06,0.88,58.07968893,7.805689844
"290",2020-06-03,244.52,9666.24,0.88,57.90597101,7.815690272
"291",2020-06-02,237.71,9518.04,0.84,57.7327727,7.818697534
"292",2020-06-01,248.23,10200.77,0.84,57.56009242,7.829223467
"293",2020-05-29,220.67,9427.07,0.83,57.04514436,7.85280401
"294",2020-05-28,220.21,9575.89,0.86,56.8745208,7.861102486
"295",2020-05-27,208.29,9204.07,0.82,56.70440757,7.871622911
"296",2020-05-26,200.89,8841.18,0.82,56.58149432,7.876368233
"297",2020-05-25,204.15,8900.35,0.81,56.64906333,7.886819355
"298",2020-05-22,207.36,9170,0.8,58.71141269,7.901187315
"299",2020-05-21,198.74,9068.65,0.81,58.66070916,7.89887176
"300",2020-05-20,209.98,9511.43,0.83,58.9854312,7.892971333
"301",2020-05-19,214.58,9775.53,0.82,58.80900418,7.888598358
"302",2020-05-18,214.91,9733.93,0.84,58.63310487,7.881982964
"303",2020-05-15,194.86,9316.42,0.75,58.10855735,7.861669375
"304",2020-05-14,203.29,9791.98,0.71,57.93475309,7.853705873
"305",2020-05-13,199.58,9309.37,0.71,57.76146869,7.845337351
"306",2020-05-12,189.76,8810.79,0.72,57.58870258,7.841177826
"307",2020-05-11,185.73,8561.52,0.75,69.60056838,7.835130414
"308",2020-05-08,211.31,9800.01,0.74,77.78218074,7.823473398
"309",2020-05-07,212,9986.4,0.7,77.78218074,7.81663032
"310",2020-05-06,198.97,9142.92,0.71,77.78218074,7.808995459
"311",2020-05-05,205.29,9021.83,0.71,77.78218074,7.801667711
"312",2020-05-04,206.48,8871.96,0.69,77.78218074,7.797496186
"313",2020-05-01,212.02,8826.96,0.68,77.20680423,7.779520985
"314",2020-04-30,206.08,8620,0.72,76.9758766,7.774675419
"315",2020-04-29,215.36,8778.57,0.78,76.74563968,7.766948994
"316",2020-04-28,196.24,7738.98,0.76,76.51609141,7.755909956
