timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-03-03,313685.17368200,340907.16800000,311509.81810200,326072.58999400,48436.61000000,52640.00000000,48100.71000000,50349.37000000,81035.91370500,81035.91370500
2021-03-02,321192.06091200,325105.24000000,304689.66712000,313711.33753000,49595.76000000,50200.00000000,47047.60000000,48440.65000000,64221.06214000,64221.06214000
2021-03-01,292297.52318200,322449.99800000,291108.62238600,321135.52368600,45134.11000000,49790.00000000,44950.53000000,49587.03000000,85086.11164800,85086.11164800
2021-02-28,298576.58765400,302039.99465200,278476.60000000,292307.56129200,46103.67000000,46638.46000000,43000.00000000,45135.66000000,83055.36904200,83055.36904200
2021-02-27,299698.33025600,313409.22280000,291429.00000000,298594.46196600,46276.88000000,48394.00000000,45000.00000000,46106.43000000,66060.83429200,66060.83429200
2021-02-26,304858.89022600,313604.22118200,285644.32863600,299698.26549400,47073.73000000,48424.11000000,44106.78000000,46276.87000000,109423.20066300,109423.20066300
2021-02-25,321713.07120200,337032.65182600,302272.36070800,304858.89022600,49676.21000000,52041.73000000,46674.34000000,47073.73000000,83310.67312100,83310.67312100
2021-02-24,316627.89420000,332714.71023800,304308.15417800,321713.00644000,48891.00000000,51374.99000000,46988.69000000,49676.20000000,91881.20925200,91881.20925200
2021-02-23,350282.56845400,350903.76555800,290733.19707200,316627.89420000,54087.67000000,54183.59000000,44892.56000000,48891.00000000,169375.02505100,169375.02505100
2021-02-22,371813.86107000,372436.35341400,308409.59640000,350282.56845400,57412.35000000,57508.47000000,47622.00000000,54087.67000000,134019.43494400,134019.43494400
2021-02-21,361638.71467800,377904.40336000,359283.96835800,371789.38103400,55841.19000000,58352.80000000,55477.59000000,57408.57000000,58166.70851100,58166.70851100
2021-02-20,362058.43720000,373679.71905200,348833.58346600,361638.71467800,55906.00000000,57700.46000000,53863.93000000,55841.19000000,80948.20531400,80948.20531400
2021-02-19,333865.01288200,365050.44160000,328409.39724000,362058.43720000,51552.61000000,56368.00000000,50710.20000000,55906.00000000,79659.77802000,79659.77802000
2021-02-18,337524.45445400,340194.78600000,329650.88478000,333864.94812000,52117.67000000,52530.00000000,50901.90000000,51552.60000000,60758.04695400,60758.04695400
2021-02-17,318198.04889000,340769.48398800,316990.56140000,337537.66590200,49133.45000000,52618.74000000,48947.00000000,52119.71000000,85743.63781800,85743.63781800
2021-02-16,310281.86582000,328273.26751600,304404.84384400,318198.04889000,47911.10000000,50689.18000000,47003.62000000,49133.45000000,88813.26629800,88813.26629800
2021-02-15,314616.83981400,317404.52010400,295125.55019800,310281.86582000,48580.47000000,49010.92000000,45570.79000000,47911.10000000,79398.15678400,79398.15678400
2021-02-14,305396.73863600,321915.25816600,304473.16775400,314599.48359800,47156.78000000,49707.43000000,47014.17000000,48577.79000000,73735.47553300,73735.47553300
2021-02-13,306312.27903000,311829.03000000,299216.82478600,305376.72717800,47298.15000000,48150.00000000,46202.53000000,47153.69000000,63768.09739900,63768.09739900
2021-02-12,310654.63589200,317241.83796000,298714.72500000,306243.95512000,47968.66000000,48985.80000000,46125.00000000,47287.60000000,85870.03569700,85870.03569700
2021-02-11,290182.84959600,315254.29218000,284914.07232400,310660.14066200,44807.58000000,48678.90000000,43994.02000000,47969.51000000,89561.08145400,89561.08145400
2021-02-10,300627.92400400,306389.02200000,283184.79740000,290182.84959600,46420.42000000,47310.00000000,43727.00000000,44807.58000000,97154.18220000,97154.18220000
2021-02-09,300332.86833200,311778.45087800,291177.01105800,300627.92400400,46374.86000000,48142.19000000,44961.09000000,46420.42000000,115499.86171200,115499.86171200
2021-02-08,251248.64757800,303050.21709000,246023.64941800,300332.93309400,38795.69000000,46794.45000000,37988.89000000,46374.87000000,138597.53691400,138597.53691400
2021-02-07,253744.05696200,257105.14000000,241892.54620000,251248.64757800,39181.01000000,39700.00000000,37351.00000000,38795.69000000,84363.67976300,84363.67976300
2021-02-06,247969.29418400,265236.07386200,247494.07062800,253782.46082800,38289.32000000,40955.51000000,38215.94000000,39186.94000000,98757.31118300,98757.31118300
2021-02-05,239209.13273000,248103.99914400,236834.63400000,247975.25228800,36936.65000000,38310.12000000,36570.00000000,38290.24000000,66681.33427500,66681.33427500
2021-02-04,243636.32781200,250682.49817400,234192.02059000,239209.19749200,37620.26000000,38708.27000000,36161.95000000,36936.66000000,92080.73589800,92080.73589800
2021-02-03,229728.36450200,243910.72440600,229013.84535600,243627.32589400,35472.71000000,37662.63000000,35362.38000000,37618.87000000,80784.33366300,80784.33366300
2021-02-02,217063.37825800,233041.71794600,216421.65160000,229686.46348800,33517.09000000,35984.33000000,33418.00000000,35466.24000000,78056.65988000,78056.65988000
2021-02-01,214316.69231400,224835.98397400,209156.39139200,217123.47739400,33092.97000000,34717.27000000,32296.16000000,33526.37000000,82718.27688200,82718.27688200
2021-01-31,221893.32821800,222410.12897800,208350.16925400,214316.75707600,34262.89000000,34342.69000000,32171.67000000,33092.98000000,68742.28038400,68742.28038400
2021-01-30,221785.75853600,226233.09460000,212581.26500000,221893.26345600,34246.28000000,34933.00000000,32825.00000000,34262.88000000,84889.68134000,84889.68134000
2021-01-29,216099.00731600,249540.29078000,206690.51348000,221824.09764000,33368.18000000,38531.90000000,31915.40000000,34252.20000000,231827.00562600,231827.00562600
2021-01-28,196631.61487800,218791.81127600,193263.40802000,216077.50633200,30362.19000000,33783.98000000,29842.10000000,33364.86000000,92621.14561700,92621.14561700
2021-01-27,210243.42156200,210847.52149800,189375.22706400,196657.26063000,32464.01000000,32557.29000000,29241.72000000,30366.15000000,95911.96171100,95911.96171100
